1;1;21;1;4;1;1;12;12;9.68;74;4;0;0;0;0;0;0;0;0;;3;10.18;10.18;3;;0;2;0;0;1;0;0;0;1;0;0;0;;No Bonus;1;1;0;10.18;;4;0;0;0;1;0;0;0;0;0;0;1;0.1207034;0.0716269
14;1;22;1;6;1;1;13.5;13.5;12.35;105;3;0;0;0;0;1;1;0;0;;4;12.35;12.35;3;;1;1;0;0;4;2;0;1;3;0;0;0;;No Bonus;14;1;0;12.35;;3;0;2;1;1;0;0;0;0;0;1;0;0.1207034;0.0716269
17;0;26;1;14;1;1;13.5;13.5;13.26;118;2;0;0;0;0;6;6;5;2;;5;13.26;13.26;5;;0;5;0;0;0;1;0;0;3;0;0;0;;No Bonus;17;1;0;13.26;;2;0;19;0;1;0;0;0;0;1;0;0;0.1207034;0.0716269
5;1;20;0;4;1;1;14;14;13.4;120;1;0;0;0;0;3;2;2;0;;5;13.4;13.4;5;;0;6;0;0;0;0;0;0;3;0;0;0;;No Bonus;5;1;0;13.4;;1;0;7;0;1;0;0;0;1;0;0;0;0.1207034;0.0716269
10;0;24;1;4;1;2;10.5;10.5;10.18;74;4;0;0;0;0;1;1;1;1;;3;10.18;10.18;3;;3;4;0;2;1;2;3;5;0;2;0;0;;No Bonus;10;2;0;10.18;;4;0;4;0;1;0;0;0;0;0;0;1;0.0904255;0.0513817
15;0;25;1;8;1;2;12.5;12.5;11.79;97;3;0;0;0;0;2;1;1;0;;4;11.79;11.79;4;;0;3;0;0;1;1;1;1;2;1;0;0;;No Bonus;15;2;0;11.79;;3;0;4;0;1;0;0;0;0;0;1;0;0.0904255;0.0513817
11;0;22;0;6;1;2;14;14;11.79;97;2;0;0;0;0;0;0;0;0;;6;11.79;11.79;6;;0;4;0;0;0;0;0;1;5;0;0;0;;No Bonus;11;2;0;11.79;;2;0;0;0;1;0;0;0;0;1;0;0;0.0904255;0.0513817
8;0;24;0;4;1;2;14;14;12.06;108;1;0;0;0;0;1;0;0;0;;4;12.56;12.56;4;;1;5;1;0;0;3;0;3;4;1;0;0;;No Bonus;8;2;0;12.56;;1;0;1;0;1;0;0;0;1;0;0;0;0.0904255;0.0513817
6;1;22;0;5;1;3;10;10;9.55;65;4;1.5;1;1;0;1.25;1;1;1;;4;9.55;9.55;3;;3;5;0;0;0;4;1;0;3;4;0;0;;No Bonus;6;3;1;9.55;;4;3.5;4.25;1;1;0;0;0;0;0;0;1;0.0662252;0.0340301
18;0;25;1;8;1;3;11.5;11.5;10.32;76;2;0;0;0;0;1;1;1;1;;5;10.32;10.32;5;;0;3;0;0;1;2;0;1;2;0;0;0;;No Bonus;18;3;0;10.32;;2;0;4;0;1;0;0;0;0;1;0;0;0.0662252;0.0340301
9;1;27;1;6;1;3;11.5;11.5;10.32;76;3;0;0;0;0;0;0;0;0;;5;10.32;10.32;5;;0;2;0;0;0;2;0;0;0;0;0;0;;No Bonus;9;3;0;10.32;;3;0;0;0;1;0;0;0;0;0;1;0;0.0662252;0.0340301
