period;Period;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;1;0;1;15;25;16;15;0;0;0;0;;1;1;1;1;1;5;1;0;0;1;2;1;;109;16.001;0;13.12;13.12;;;;0;0;0;0;0;;;9;1;4;0;4;1;
29;1;1;0;1;32;32;18;18;1;1;;0;;1;1;1;1;1;1;3;1;0;0;3;0;;208.496;;;18;14.0625;;;;;0;0;;0;;;0;2;4;0;4;1;
12;1;1;0;1;15;19;15;14;0;0;0;0;;1;1;1;1;1;4;2;0;1;0;2;1;;107;10;5.921052;13.42105;13.42105;;;;0;0;0;0;0;;;4;1;4;0;4;1;
39;1;1;0;1;13;21;13;12;0;0;0;0;;1;1;1;1;1;3;2;0;1;0;4;0;;277.494;1.1;4.023809;10.52381;10.52381;;;;0;0;0;0;0;;;8;1;4;0;4;1;
2;1;1;21;1;31;31;17;15;0;0;10;1;;1;1;1;1;1;3;3;1;0;0;1;1;1;119;10;8.5;13.16129;13.16129;0.7258065;8.5;;1;0;1;0;1;0;;14;1;4;0;4;1;
35;1;2;0;1;18;29;19;18;0;0;0;0;;1;1;1;2;1;2;1;0;0;1;4;0;;262.495;10;0;15.72414;15.72414;;;;0;0;0;0;0;;;10;1;4;0;4;1;
44;1;2;0;1;27;27;13;11;1;1;;0;;1;1;1;2;1;6;3;1;0;0;5;0;0;278.9919;;;10.15385;9.62963;;;;;0;0;;0;;;2;1;4;0;4;1;
48;1;1;0;1;18;27;18;18;0;0;0;0;;1;1;1;1;1;2;1;0;0;1;5;0;0;279.4909;17;0;15;15;;;;0;0;0;0;0;;;9;1;4;0;4;1;
26;1;2;13.999;1;32;32;18;17;0;0;18.001;1;;1;1;1;2;1;4;3;1;0;0;3;0;;221.997;22.001;9;14.0625;14.0625;0.71875;13;;1;0;1;1;0;1;;14;2;4;0;4;1;
31;1;1;26;1;42;42;15;13;0;0;16;1;;1;1;1;1;1;1;3;1;0;0;4;0;;234.496;16;7.5;10.17857;10.17857;0.8214286;7.5;;1;0;1;1;0;1;;27;1;4;0;4;1;
23;1;2;0;1;13;55;13;11;0;0;0;0;;1;1;1;2;1;1;2;0;1;0;3;1;;206.999;14;1.536364;8.036364;8.036364;;;;0;0;0;0;0;;;42;1;4;0;4;1;
27;1;1;-14.001;1;15;36;15;15;0;1;14.001;0;;1;1;1;1;1;5;1;0;0;1;3;0;;207.996;28.501;7.5;15;10.625;;;;;0;0;0;0;;;0;2;4;0;4;1;
49;1;1;0;1;14;34;17;14;0;1;0;0;;1;1;1;1;1;2;1;0;0;1;5;0;0;279.4909;4;5.764706;12.76471;12.75;;;;;0;0;0;0;;;3;1;4;0;4;1;
25;1;1;0;1;32;32;14;12;1;1;;0;;1;1;1;1;1;4;3;1;0;0;3;1;;207.998;;;11.14286;10.0625;;;;;0;0;;0;;;2;1;4;0;4;1;
43;1;2;0;1;14;51;14;13;0;0;0;0;;1;1;1;2;1;2;2;0;1;0;5;0;0;278.9919;14;1.921569;8.921569;8.921569;;;;0;0;0;0;0;;;37;1;4;0;4;1;
15;1;2;1;1;12;26;12;11;0;1;11;1;;1;1;1;2;1;3;2;0;1;0;2;1;;110;19;5.5;10.54167;8.769231;0.5416667;;16.5;;1;1;1;0;;1;1;2;4;0;4;1;
32;1;2;27;1;45;45;17;14;0;0;18;1;;1;1;1;2;1;1;3;1;0;0;4;0;;261.496;21;8.5;11.71111;11.71111;0.8111111;11.5;;1;0;1;1;0;1;;28;2;4;0;4;1;
34;1;1;0.999;1;12;45;12;11;0;1;11.001;1;;1;1;1;1;1;1;2;0;1;0;4;0;;262.495;11.001;5.5;10.54167;7.6;0.5416667;;16.501;;1;1;1;0;;1;1;1;4;0;4;1;
13;1;1;2;1;17;41;17;15;0;1;15;1;;1;1;1;1;1;3;2;0;1;0;2;1;;109;15;7.5;14.11765;12.02439;0.5588235;;22.5;;1;1;1;0;;1;2;1;4;0;4;1;
7;1;1;0;1;18;35;18;16;0;0;0;0;;1;1;1;1;1;4;2;0;1;0;1;1;1;122;20;4.628572;13.62857;13.62857;;;;0;0;0;0;0;;;17;1;4;0;4;1;
24;1;2;0.999;1;12;51;12;11;0;1;11.001;1;;1;1;1;2;1;1;2;0;1;0;3;1;;207.998;11.001;5.5;10.54167;7.411765;0.5416667;;16.501;;1;1;1;0;;1;1;1;4;0;4;1;
5;1;1;0;1;18;45;18;16;0;0;0;0;;1;1;1;1;1;6;2;0;1;0;1;1;1;137;19;3.6;12.6;12.6;;;;0;0;0;0;0;;;27;1;4;0;4;1;
6;1;1;-15;1;20;31;20;20;0;1;15;0;;1;1;1;1;1;1;1;0;0;1;1;1;1;122;33;10;20;16.45161;;;;;0;0;0;0;;;0;2;4;0;4;1;
16;1;1;34;1;55;55;20;16;0;0;21;1;;1;1;1;1;1;4;3;1;0;0;2;1;;144;21;10;13.63636;13.63636;0.8181818;10;;1;0;1;1;0;1;;35;1;4;0;4;1;
11;1;1;0;1;27;27;17;15;1;1;;0;;1;1;1;1;1;4;3;1;0;0;2;1;;107;;;14.11765;13.85185;;;;;0;0;;0;;;2;2;4;0;4;1;
17;1;2;11;1;30;30;18;16;0;0;19;1;;1;1;1;2;1;1;3;1;0;0;2;1;;155;19;9;14.4;14.4;0.7;9;;1;0;1;1;0;1;;12;1;4;0;4;1;
28;1;2;0.5;1;13;38;13;13;0;1;12.5;1;;1;1;1;2;1;5;1;0;0;1;3;0;;208.496;21.5;6.5;13;8.723684;;;;;0;0;0;0;;;0;2;4;0;4;1;
10;1;1;1;1;11;42;11;11;0;1;10;1;;1;1;1;1;1;3;1;0;0;1;1;1;1;107;10.001;5.5;11;6.940476;;;;;0;0;0;0;;;0;2;4;0;4;1;
41;1;2;0.999;1;13;30;13;12;0;1;12.001;1;;1;1;1;2;1;5;2;0;1;0;5;0;0;278.493;13.111;6;11.53846;9.316667;0.5384616;;18.001;;1;1;1;0;;1;1;2;4;0;4;1;
30;1;1;0;1;18;37;18;18;0;0;0;0;;1;1;1;1;1;6;1;0;0;1;3;0;;208.496;5;0;13.37838;13.37838;;;;0;0;0;0;0;;;19;2;4;0;4;1;
36;1;1;0;1;36;36;20;19;1;1;;0;;1;1;1;1;1;6;3;1;0;0;4;0;;262.495;;;18.525;15.55556;;;;;0;0;;0;;;1;2;4;0;4;1;
42;1;1;0.499;1;14;15;14;14;0;0;13.501;1;;1;1;1;1;1;5;1;0;0;1;5;0;0;278.9919;17.502;0;13.53333;13.53333;;;;0;0;0;0;0;;;1;3;4;0;4;1;
40;1;2;0;1;19;30;19;17;0;0;0;0;;1;1;1;2;1;6;2;0;1;0;4;0;;277.494;15;6.016667;15.51667;15.51667;;;;0;0;0;0;0;;;11;1;4;0;4;1;
45;1;1;0;1;51;51;20;19;1;1;;0;;1;1;1;1;1;1;3;1;0;0;5;0;0;278.9919;;;18.525;13.92157;;;;;0;0;;0;;;1;1;4;0;4;1;
37;1;2;0;1;16;46;16;13;0;0;0;0;;1;1;1;2;1;6;2;0;1;0;4;0;;262.495;18;2.782609;10.78261;10.78261;;;;0;0;0;0;0;;;30;2;4;0;4;1;
22;1;1;29;1;47;47;17;16;0;0;18;1;;1;1;1;1;1;6;3;1;0;0;3;1;;206.999;18;8.5;11.57447;11.57447;0.819149;8.5;;1;0;1;1;0;1;;30;1;4;0;4;1;
3;1;2;1;1;11;38;13;11;0;1;10;1;;1;1;1;2;1;1;1;0;0;1;1;1;1;120;10.001;4.653846;10.15385;8.723684;;;;;0;0;0;0;;;2;2;4;0;4;1;
8;1;1;0;1;38;38;20;17;1;1;;0;;1;1;1;1;1;4;3;1;0;0;1;1;1;122;;;15.725;15.26316;;;;;0;0;;0;;;3;1;4;0;4;1;
47;2;2;-4;1;14;33;14;13;0;1;4;0;;1;1;2;2;1;5;2;0;1;0;5;0;0;330.5;14;6.5;12.53571;9.969697;0.5357143;;10.5;;1;1;0;0;;0;1;2;12;0;12;0;
30;2;1;15;2;18;37;18;18;0;0;3;1;;1;1;2;1;1;4;2;0;1;0;3;0;;207;5;4.378378;13.37838;13.37838;;;;0;0;0;0;0;;;19;2;12;0;12;0;
13;2;1;0;2;41;41;17;15;1;1;;0;;1;1;2;1;1;2;3;1;0;0;2;1;;109;;;14.11765;12.02439;;;;;0;0;;0;;;2;1;12;0;12;0;
41;2;1;-3;1;14;30;15;14;0;1;3;0;;1;1;2;1;1;6;1;0;0;1;5;0;0;275.5;17.1;6.533333;13.53333;11.25;;;;;0;0;0;0;;;1;2;12;0;12;0;
14;2;2;16;1;36;36;16;14;0;0;20;1;;1;1;2;2;1;6;3;1;0;0;2;1;;125;20;8;11.55556;11.55556;0.7777778;8;;1;0;1;1;0;1;;20;1;12;0;12;0;
27;2;2;0;1;45;45;17;17;1;1;;0;;1;1;2;2;1;1;3;1;0;0;3;0;;178;;;17;11.71111;;;;;0;0;;0;;;0;2;12;0;12;0;
25;2;2;0;1;36;36;18;15;1;1;;0;;1;1;2;2;1;6;3;1;0;0;3;1;;182;;;13.75;13.5;;;;;0;0;;0;;;3;1;12;0;12;0;
43;2;1;24;1;39;39;14;12;0;0;15;1;;1;1;2;1;1;3;3;1;0;0;5;0;0;296.5;15;7;9.51282;9.51282;0.8205128;7;;1;0;1;1;0;1;;25;1;12;0;12;0;
29;2;2;0;1;41;41;20;19;1;1;;0;;1;1;2;2;1;5;3;1;0;0;3;0;;192;;;18.525;14.87805;;;;;0;0;;0;;;1;2;12;0;12;0;
24;2;2;0;2;51;51;12;11;1;1;;0;;1;1;2;2;1;6;3;1;0;0;3;1;;182;;;10.54167;7.411765;;;;;0;0;;0;;;1;1;12;0;12;0;
16;2;2;9;1;19;19;12;12;0;0;10;1;;1;1;2;2;1;5;3;1;0;0;2;1;;134;10;6;9.789474;9.789474;0.6842105;6;;1;0;1;0;1;0;;7;1;12;0;12;0;
44;2;2;11;2;13;27;13;11;0;1;2;1;;1;1;2;2;1;3;2;0;1;0;5;0;0;307.5;2;5.5;10.15385;9.62963;0.5769231;;7.5;;1;1;0;0;;0;2;1;12;0;12;0;
4;2;2;-14;2;15;35;18;15;0;0;14;0;;1;1;2;2;1;2;1;0;0;1;1;1;1;85;32;0;13.62857;13.62857;;;;0;0;0;0;0;;;17;2;12;0;12;0;
42;2;1;-3;2;14;15;14;14;0;0;3;0;;1;1;2;1;1;4;2;0;1;0;5;0;0;272.5;17.502;6.533333;13.53333;13.53333;;;;0;0;0;0;0;;;1;3;12;0;12;0;
12;2;1;9;2;19;19;15;14;0;0;10;1;;1;1;2;1;1;6;3;1;0;0;2;1;;109;10;7.5;13.42105;13.42105;0.6052632;7.5;;1;0;1;0;1;0;;4;1;12;0;12;0;
37;2;2;-2;2;13;46;16;13;0;0;2;0;;1;1;2;2;1;1;1;0;0;1;4;0;;247.5;18;0;10.78261;10.78261;;;;0;0;0;0;0;;;30;2;12;0;12;0;
34;2;1;0;2;45;45;12;11;1;1;;0;;1;1;2;1;1;4;3;1;0;0;4;0;;213.7;;;10.54167;7.6;;;;;0;0;;0;;;1;1;12;0;12;0;
5;2;2;5;1;33;33;13;11;0;0;28;1;;1;1;2;2;1;3;3;1;0;0;1;1;1;90;28;6.5;9.060606;9.060606;0.8030303;6.5;;1;0;1;1;0;1;;20;1;12;0;12;0;
22;2;2;7;1;19;19;18;18;0;0;12;1;;1;1;2;2;1;1;3;1;0;0;3;1;;165;12;9;17.52632;17.52632;0.5263158;9;;1;0;1;0;1;0;;1;1;12;0;12;0;
21;2;1;-14;2;15;36;15;12;0;0;14;0;;1;1;2;1;1;3;2;0;1;0;3;1;;158;30;3.125;10.625;10.625;;;;0;0;0;0;0;;;21;2;12;0;12;0;
33;2;2;-2.2;1;13;36;15;13;0;0;2.2;0;;1;1;2;2;1;6;1;0;0;1;4;0;;213.7;17.2;0;10.625;10.625;;;;0;0;0;0;0;;;21;2;12;0;12;0;
39;2;2;-1;1;13;35;14;13;0;0;1;0;;1;1;2;2;1;2;1;0;0;1;4;0;;244.5;5.005;0;9.8;9.8;;;;0;0;0;0;0;;;21;3;12;0;12;0;
48;2;2;21;1;41;41;19;18;0;0;20;1;;1;1;2;2;1;6;3;1;0;0;5;0;0;351.5;20;9.5;13.90244;13.90244;0.7682927;9.5;;1;0;1;1;0;1;;22;1;12;0;12;0;
6;2;2;0;1;47;47;17;14;1;1;;0;;1;1;2;2;1;6;3;1;0;0;1;1;1;90;;;12.76471;11.57447;;;;;0;0;;0;;;3;1;12;0;12;0;
