---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7;5;Trustee;4;0;1;2.5;0;76;5.83;40;30;16;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;116;0;0.0833333;19
2;6;5;Third Party;4;0;1;2.5;0;76;5.83;40;30;30;30;20,8%;1326;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;606;116;0.2083333;0.0833333;16
2;15;5;Investor;4;8;1;2.5;0;76;5.83;40;26;30;12;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;116;0;0.0833333;5
2;11;6;Trustee;8;0;8;4.5;0;37;4.97;12;30;22;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;49;0;0.3333333;24
2;12;6;Third Party;8;0;8;4.5;0;37;4.97;12;30;30;8;B hat in der letzten Runde 58.3% zur?ckgezahlt.;1328;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;49;0.5833333;0.3333333;16
2;1;6;Investor;8;10;8;4.5;0;37;4.97;12;9;30;7;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;49;0;0.3333333;8
3;2;1;Investor;8;14;10;2.8;0;55;2.88;18;13;30;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;73;0;0.4166667;10
3;10;1;Third Party;8;0;10;2.8;0;55;2.88;18;30;30;8;Teilnehmer B wird nichts zur?ckgeben. Hat in der ersten Runde nichts bekommen.;1333;neutral;vague;not evaluative;0;0;0;0;0;0;1;0;0;0;1;wrong;26;Noisy Gossip;610;73;0;0.4166667;16
3;8;1;Trustee;8;0;10;2.8;0;55;2.88;18;30;14;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;73;0;0.4166667;22
3;7;2;Trustee;4;0;1;3;1;40;1.42;6;30;26;20;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;46;0;0.0833333;19
3;5;2;Third Party;4;0;1;3;1;40;1.42;6;30;30;8;50% des verdreifachten betrages zur?ck;1331;negative;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;46;0.5;0.0833333;14.58
3;15;2;Investor;4;6;1;3;1;40;1.42;6;25;30;9;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;46;0;0.0833333;5
3;6;3;Third Party;8;0;8;3;1;59;1.63;13;30;30;19;8,3%;1332;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;606;72;0.0833333;0.3333333;14.37
3;13;3;Investor;8;12;8;3;1;59;1.63;13;21;30;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;72;0;0.3333333;8
3;11;3;Trustee;8;0;8;3;1;59;1.63;13;30;15;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;72;0;0.3333333;24
3;3;4;Trustee;3;0;0;0;0;18;4.42;3;30;10;13;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;21;0;0;17
3;4;4;Investor;3;4;0;0;0;18;4.42;3;18;30;9;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;21;0;0;5
3;16;4;Third Party;3;0;0;0;0;18;4.42;3;30;30;3;;1335;;;;;;;;;;;;;;0;;26;Noisy Gossip;616;21;0.4761905;0;16
3;18;5;Third Party;8;0;16;0.2;0;20;6.58;13;30;30;5;41.70%;1336;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;618;33;0.4166667;0.6666667;16
3;14;5;Trustee;8;0;16;0.2;0;20;6.58;13;30;37;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;33;0;0.6666667;16
3;17;5;Investor;8;12;16;0.2;0;20;6.58;13;23;30;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;33;0;0.6666667;16
3;1;6;Investor;8;8;14;6;1;39;1.99;8;12;30;12;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;47;0;0.5833333;14
3;9;6;Trustee;8;0;14;6;1;39;1.99;8;30;28;15;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;47;0;0.5833333;18
3;12;6;Third Party;8;0;14;6;1;39;1.99;8;30;30;6;B hat in der letzten Runde 33.3% des erhaltenen Betrags zur?ckgesendet;1334;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;47;0.3333333;0.5833333;14.01
4;6;1;Third Party;8;0;0;3;0;55;4.25;9;30;30;3;33,3%. Gibt was du gibst.;1338;neutral;true;not evaluative;0;0;0;0;0;0;0;0;0;0;1;;26;Noisy Gossip;606;64;0.3333333;0;16
4;13;1;Investor;8;8;0;3;0;55;4.25;9;8;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;64;0;0;0
4;14;1;Trustee;8;0;0;3;0;55;4.25;9;30;9;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;64;0;0;32
4;15;2;Investor;1;0;5;4;1;46;0.07;16;8;30;15;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;62;0;1.666667;12
4;16;2;Third Party;1;0;5;4;1;46;0.07;16;30;30;5;Teilnehmer B hat in der letzten Runde 0% von seinem erhaltenen Betrag zur?ck gesendet.;1341;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;616;62;0;1.666667;15.93
4;3;2;Trustee;1;0;5;4;1;46;0.07;16;30;14;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;62;0;1.666667;6
4;8;3;Trustee;8;0;10;7;1;51;0.29;12;30;20;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;63;0;0.4166667;22
4;10;3;Third Party;8;0;10;7;1;51;0.29;12;30;30;10;Teilnehmer B sehr kollant. Gibt 42 Prozent zur?ck. Gro?z?giger Spieler. Ich w?rde zocken und alles geben.;1339;positive;true;evaluative;0;1;0;0;0;1;0;1;0;0;1;generous;26;Noisy Gossip;610;63;0.4166667;0.4166667;15.71
4;1;3;Investor;8;12;10;7;1;51;0.29;12;11;30;6;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;63;0;0.4166667;10
4;7;4;Trustee;0;0;0;1;0;28;1.41;5;30;11;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;33;0;0;8
4;4;4;Investor;0;0;0;1;0;28;1.41;5;9;30;1;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;33;0;0;8
4;5;4;Third Party;0;0;0;1;0;28;1.41;5;30;30;1;8,3% vom verdreifachten gesendeten betrag zur?ck;1337;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;33;0.0833333;0;16
4;18;5;Third Party;8;0;15;0;0;16;7.81;8;30;30;9;66.70%;1342;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;618;24;0.6666666;0.625;16
4;17;5;Investor;8;12;15;0;0;16;7.81;8;14;30;14;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;24;0;0.625;15
4;9;5;Trustee;8;0;15;0;0;16;7.81;8;30;30;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;24;0;0.625;17
4;2;6;Investor;8;12;20;5.5;1;35;1.01;12;33;30;17;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;47;0;0.8333333;20
4;12;6;Third Party;8;0;20;5.5;1;35;1.01;12;30;30;6;B hat in derl letzten Runde 58,3% des Betrages zur?ckgezahlt;1340;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;47;0.5833333;0.8333333;14.99
4;11;6;Trustee;8;0;20;5.5;1;35;1.01;12;30;24;13;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;47;0;0.8333333;12
5;18;1;Third Party;8;0;15;0;0;14;2.14;3;30;30;6;62.50%;1348;neutral;false;not evaluative;0;0;0;0;0;0;0;0;0;0;1;;26;Noisy Gossip;618;17;0.625;0.625;16
5;13;1;Investor;8;10;15;0;0;14;2.14;3;12;30;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;17;0;0.625;15
5;9;1;Trustee;8;0;15;0;0;14;2.14;3;30;26;22;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;17;0;0.625;17
5;2;2;Investor;8;12;10;0;0;14;3.33;6;13;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;20;0;0.4166667;10
5;8;2;Trustee;8;0;10;0;0;14;3.33;6;30;20;6;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;20;0;0.4166667;22
5;16;2;Third Party;8;0;10;0;0;14;3.33;6;30;30;2;;1347;;;;;;;;;;;;;;0;;26;Noisy Gossip;616;20;1.666667;0.4166667;16
5;3;3;Trustee;0;0;0;1;0;15;5.08;7;30;13;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;22;0;0;8
5;5;3;Third Party;0;0;0;1;0;15;5.08;7;30;30;3;gar keine r?ckzahlung;1343;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;22;0;0;16
5;4;3;Investor;0;4;0;1;0;15;5.08;7;11;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;22;0;0;8
5;6;4;Third Party;8;0;8;6;1;42;0.58;10;30;30;7;0% Ziemlich Geizig.;1344;negative;true;evaluative;0;0;1;0;0;0;0;0;0;0;1;selfish;26;Noisy Gossip;606;52;0;0.3333333;15.42
5;1;4;Investor;8;2;8;6;1;42;0.58;10;11;30;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;52;0;0.3333333;8
5;11;4;Trustee;8;0;8;6;1;42;0.58;10;30;24;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;52;0;0.3333333;24
5;7;5;Trustee;8;0;0;3.8;0;57;4.04;11;30;15;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;68;0;0;32
5;10;5;Third Party;8;0;0;3.8;0;57;4.04;11;30;30;6;Spieler B ist fair und zahlt dir 42% zur?ck. Nen besseren Kurs bis Dato nicht gesehen.;1345;positive;true;evaluative;1;0;0;0;0;0;0;0;0;0;1;fair;26;Noisy Gossip;610;68;0.4166667;0;16
5;17;5;Investor;8;12;0;3.8;0;57;4.04;11;12;30;17;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;68;0;0;0
5;12;6;Third Party;3;0;0;6.5;1;31;3.29;7;30;30;6;B hat in der letzten Runde 83.3% des erhaltenen Betrags zur?ckgesendet;1346;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;38;0.8333334;0;12.71
5;14;6;Trustee;3;0;0;6.5;1;31;3.29;7;30;16;5;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;38;0;0;17
5;15;6;Investor;3;6;0;6.5;1;31;3.29;7;30;30;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;38;0;0;5
6;4;1;Investor;0;3;0;0;0;15;2.43;4;17;30;1;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;19;0;0;8
6;16;1;Third Party;0;0;0;0;0;15;2.43;4;30;30;3;;1353;;;;;;;;;;;;;;0;;26;Noisy Gossip;616;19;0.4166667;0;16
6;14;1;Trustee;0;0;0;0;0;15;2.43;4;30;3;1;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;19;0;0;8
6;1;2;Investor;0;0;0;8;1;37;0.57;13;12;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;50;0;0;8
6;12;2;Third Party;0;0;0;8;1;37;0.57;13;30;30;4;B hat in der letzten Runde nichts von seinem erhaltenen Betrag zur?ckgezahlt;1352;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;50;0;0;15.43
6;8;2;Trustee;0;0;0;8;1;37;0.57;13;30;10;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;50;0;0;8
6;6;3;Third Party;8;0;15;2;0;45;3.71;11;30;30;4;33,3%;1350;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;606;56;0.3333333;0.625;16
6;13;3;Investor;8;9;15;2;0;45;3.71;11;12;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;56;0;0.625;15
6;9;3;Trustee;8;0;15;2;0;45;3.71;11;30;24;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;56;0;0.625;17
6;10;4;Third Party;2;0;10;3.4;0;52;4.46;9;30;30;2;Teilnehmer B gibt nichts zur?ck. Also lass Ihn verhungern.;1351;negative;true;evaluative;0;1;0;1;0;0;0;0;0;0;1;warning;26;Noisy Gossip;610;61;0;1.666667;16
6;11;4;Trustee;2;0;10;3.4;0;52;4.46;9;30;26;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;61;0;1.666667;4
6;15;4;Investor;2;4;10;3.4;0;52;4.46;9;28;30;12;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;61;0;1.666667;16
6;5;5;Third Party;8;0;0;2;0;12;4.65;3;30;30;1;gar keine r?ckzahlung;1349;negative;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;15;0;0;16
6;17;5;Investor;8;16;0;2;0;12;4.65;3;9;30;6;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;15;0;0;0
6;7;5;Trustee;8;0;0;2;0;12;4.65;3;30;21;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;15;0;0;32
6;3;6;Trustee;8;0;10;0;0;7;4.93;2;30;11;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;9;0;0.4166667;22
6;18;6;Third Party;8;0;10;0;0;7;4.93;2;30;30;1;;1354;;;;;;;;;;;;;;0;;26;Noisy Gossip;618;9;0.625;0.4166667;16
6;2;6;Investor;8;16;10;0;0;7;4.93;2;16;30;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;9;0;0.4166667;10
7;9;1;Trustee;8;0;15;0;0;7;4.71;5;30;28;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;12;0;0.625;17
7;18;1;Third Party;8;0;15;0;0;7;4.71;5;30;30;5;;1360;;;;;;;;;;;;;;0;;26;Noisy Gossip;618;12;0.4166667;0.625;16
7;1;1;Investor;8;12;15;0;0;7;4.71;5;8;30;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;12;0;0.625;15
7;2;2;Investor;8;16;0;3;1;22;1.78;13;23;30;14;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;35;0;0;0
7;12;2;Third Party;8;0;0;3;1;22;1.78;13;30;30;6;B hat in der letzten Runde 0 ECU erhalten;1358;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;35;0;0;14.22
7;14;2;Trustee;8;0;0;3;1;22;1.78;13;30;7;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;35;0;0;32
7;7;3;Trustee;1;0;0;2;1;9;0.71;4;30;10;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;13;0;0;11
7;15;3;Investor;1;0;0;2;1;9;0.71;4;13;30;11;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;13;0;0;7
7;5;3;Third Party;1;0;0;2;1;9;0.71;4;30;30;2;gar keine r?ckzahlung;1355;negative;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;13;0;0;15.29
7;3;4;Trustee;0;0;0;4;0;37;5.84;4;30;4;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;41;0;0;8
7;6;4;Third Party;0;0;0;4;0;37;5.84;4;30;30;8;62,5 sehr Gro?z?gig;1356;positive;true;evaluative;1;0;0;0;0;1;0;1;0;0;1;generous;26;Noisy Gossip;606;41;0.625;0;16
7;4;4;Investor;0;0;0;4;0;37;5.84;4;10;30;12;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;41;0;0;8
7;17;5;Investor;7;14;8;0;0;12;7.23;6;15;30;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;18;0;0.3809524;9
7;8;5;Trustee;7;0;8;0;0;12;7.23;6;30;31;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;18;0;0.3809524;21
7;16;5;Third Party;7;0;8;0;0;12;7.23;6;30;30;2;;1359;;;;;;;;;;;;;;0;;26;Noisy Gossip;616;18;0;0.3809524;16
7;10;6;Third Party;8;0;8;3.8;0;41;7.46;13;30;30;2;Teilnehmer B hat 166% zur?ckgesendet. Denke das macht er f?r die Nachricht also wird er dir nix zur?ckgeben. Deine Entscheidung.;1357;negative;true;evaluative;0;0;0;1;0;0;0;0;0;0;1;warning;26;Noisy Gossip;610;54;1.666667;0.3333333;16
7;13;6;Investor;8;10;8;3.8;0;41;7.46;13;10;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;54;0;0.3333333;8
7;11;6;Trustee;8;0;8;3.8;0;41;7.46;13;30;8;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;54;0;0.3333333;24
8;18;1;Third Party;8;0;0;0;0;6;2.99;11;30;30;3;;1366;;;;;;;;;;;;;;0;;26;Noisy Gossip;618;17;0.625;0;16
8;3;1;Trustee;8;0;0;0;0;6;2.99;11;30;7;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;17;0;0;32
8;15;1;Investor;8;16;0;0;0;6;2.99;11;19;30;5;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;17;0;0;0
8;7;2;Trustee;8;0;0;1.5;0;6;1.91;16;30;6;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;22;0;0;32
8;5;2;Third Party;8;0;0;1.5;0;6;1.91;16;30;30;3;gar keine r?ckzahlung;1361;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;22;0;0;16
8;13;2;Investor;8;8;0;1.5;0;6;1.91;16;5;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;22;0;0;0
8;17;3;Investor;7;14;12;0;0;10;7.74;11;8;30;9;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;21;0;0.5714286;13
8;9;3;Trustee;7;0;12;0;0;10;7.74;11;30;30;27;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;21;0;0.5714286;17
8;16;3;Third Party;7;0;12;0;0;10;7.74;11;30;30;2;;1365;;;;;;;;;;;;;;0;;26;Noisy Gossip;616;21;0.3809524;0.5714286;16
8;14;4;Trustee;8;0;0;6;1;30;2.09;6;30;3;1;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;36;0;0;32
8;12;4;Third Party;8;0;0;6;1;30;2.09;6;30;30;7;B hat in der letzten Runde nichts von seinem erhaltenen Betrag zur?ckgezahlt;1364;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;36;0;0;13.91
8;2;4;Investor;8;16;0;6;1;30;2.09;6;18;30;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;36;0;0;0
8;8;5;Trustee;0;0;0;3.8;1;53;1.9;5;30;6;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;58;0;0;8
8;10;5;Third Party;0;0;0;3.8;1;53;1.9;5;30;30;4;lohnt nicht zu senden. gibt aber deinen einsatz zur?ck. Also fairer Spieler die Frage nur wie lange noch.;1363;neutral;true;evaluative;1;0;0;1;0;0;1;0;0;0;1;wrong;26;Noisy Gossip;610;58;0.3333333;0;14.1
8;4;5;Investor;0;0;0;3.8;1;53;1.9;5;34;30;11;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;58;0;0;8
8;6;6;Third Party;8;0;8;2;0;29;2.25;3;30;30;14;0% Gnausrig;1362;negative;true;evaluative;0;0;1;0;0;0;0;0;0;0;1;selfish;26;Noisy Gossip;606;32;0;0.3333333;16
8;1;6;Investor;8;12;8;2;0;29;2.25;3;9;30;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;32;0;0.3333333;8
8;11;6;Trustee;8;0;8;2;0;29;2.25;3;30;16;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;32;0;0.3333333;24
9;7;1;Trustee;0;0;0;4.5;0;51;5.3;21;30;8;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;72;0;0;8
9;18;1;Third Party;0;0;0;4.5;0;51;5.3;21;30;30;6;0% hat der geizige Teilnehmer zur?ck gesendet!!;1372;negative;true;evaluative;0;0;1;0;0;0;0;0;0;0;1;selfish;26;Noisy Gossip;618;72;0;0;16
9;4;1;Investor;0;0;0;4.5;0;51;5.3;21;10;30;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;72;0;0;8
9;6;2;Third Party;8;0;11;0.5;1;9;0.49;13;30;30;12;33,3;1368;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;606;22;0.3333333;0.4583333;15.51
9;13;2;Investor;8;8;11;0.5;1;9;0.49;13;11;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;22;0;0.4583333;11
9;8;2;Trustee;8;0;11;0.5;1;9;0.49;13;30;34;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;22;0;0.4583333;21
9;1;3;Investor;0;0;2;5.5;1;32;4.37;9;20;30;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;41;0;0;10
9;12;3;Third Party;0;0;2;5.5;1;32;4.37;9;30;30;5;B hat in der letztem Runde 0 % von seinem Betrag zur?ckgesendet;1370;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;612;41;0;0;11.63
9;3;3;Trustee;0;0;2;5.5;1;32;4.37;9;30;11;12;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;41;0;0;6
9;5;4;Third Party;2;0;0;1.21;0;11;3.46;5;30;30;3;gar keine r?ckzahlung;1367;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;16;0;0;16
9;14;4;Trustee;2;0;0;1.21;0;11;3.46;5;30;23;10;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;16;0;0;14
9;15;4;Investor;2;2;0;1.21;0;11;3.46;5;11;30;8;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;16;0;0;6
9;9;5;Trustee;8;0;15;2;0;28;4.25;9;30;26;10;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;37;0;0.625;17
9;2;5;Investor;8;16;15;2;0;28;4.25;9;12;30;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;37;0;0.625;15
9;10;5;Third Party;8;0;15;2;0;28;4.25;9;30;30;3;B hat nix bekommen.;1369;neutral;false;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;610;37;0;0.625;16
9;16;6;Third Party;8;0;1;0;0;20;4.59;3;30;30;3;;1371;;;;;;;;;;;;;;0;;26;Noisy Gossip;616;23;0.5714285;0.0416667;16
9;17;6;Investor;8;16;1;0;0;20;4.59;3;10;30;18;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;23;0;0.0416667;1
9;11;6;Trustee;8;0;1;0;0;20;4.59;3;30;8;3;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;23;0;0.0416667;31
10;13;1;Investor;0;0;0;4;1;38;3.51;13;12;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;613;51;0;0;8
10;16;1;Third Party;0;0;0;4;1;38;3.51;13;30;30;6;Teilnehmer B hat in der letzten Runde 4.2 % von seinem erhaltenen Betrag zur?ck gesendet.;1377;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;616;51;0.0416667;0;12.49
10;11;1;Trustee;0;0;0;4;1;38;3.51;13;30;9;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;611;51;0;0;8
10;2;2;Investor;8;16;8;0;0;11;4.89;4;19;30;1;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;602;15;0;0.3333333;8
10;18;2;Third Party;8;0;8;0;0;11;4.89;4;30;30;2;;1378;;;;;;;;;;;;;;0;;26;Noisy Gossip;618;15;0;0.3333333;16
10;9;2;Trustee;8;0;8;0;0;11;4.89;4;30;28;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;609;15;0;0.3333333;24
10;7;3;Trustee;7;0;0;2;1;45;1.79;1;30;7;4;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;607;46;0;0;29
10;17;3;Investor;7;13;0;2;1;45;1.79;1;37;30;17;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;617;46;0;0;1
10;10;3;Third Party;7;0;0;2;1;45;1.79;1;30;30;3;B teilt br?derlich den verdreifachten betrag.;1375;positive;vague;evaluative;1;0;0;0;0;0;0;0;0;0;1;fair;26;Noisy Gossip;610;46;0.625;0;14.21
10;3;4;Trustee;8;0;0;0.5;0;18;5.45;4;30;10;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;603;22;0;0;32
10;1;4;Investor;8;0;0;0.5;0;18;5.45;4;10;30;7;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;601;22;0;0;0
10;12;4;Third Party;8;0;0;0.5;0;18;5.45;4;30;30;4;B hat in der letzte Runde 0 ECU erhalten;1376;negative;false;not evaluative;0;0;0;0;0;0;1;0;0;0;1;wrong;26;Noisy Gossip;612;22;0;0;16
10;6;5;Third Party;3;0;4;2;0;39;7.38;4;30;30;4;45,8%;1374;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;606;43;0.4583333;0.4444444;16
10;8;5;Trustee;3;0;4;2;0;39;7.38;4;30;35;30;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;608;43;0;0.4444444;13
10;15;5;Investor;3;6;4;2;0;39;7.38;4;21;30;9;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;615;43;0;0.4444444;9
10;14;6;Trustee;0;0;0;1;0;9;1.5;6;30;3;1;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;614;15;0;0;8
10;4;6;Investor;0;0;0;1;0;9;1.5;6;9;30;2;;;;;;;;;;;;;;;;0;;26;Noisy Gossip;604;15;0;0;8
10;5;6;Third Party;0;0;0;1;0;9;1.5;6;30;30;5;gar keine r?ckzahlung;1373;neutral;true;not evaluative;0;0;0;0;1;0;0;0;0;0;1;neutral;26;Noisy Gossip;605;15;0;0;16
1;1;1;Third Party;8;0;16;;;;5.96;;30;30;10;;;;;;;;;;;;;;;;0;;27;Noisy Gossip;625;;;0.6666667;16
1;14;1;Investor;8;12;16;;;;5.96;;16;30;5;;;;;;;;;;;;;;;;0;;27;Noisy Gossip;638;;;0.6666667;16
1;9;1;Trustee;8;0;16;;;;5.96;;30;14;3;;;;;;;;;;;;;;;;0;;27;Noisy Gossip;633;;;0.6666667;16
1;5;2;Investor;8;6;16;;;;2.47;;21;30;7;;;;;;;;;;;;;;;;0;;27;Noisy Gossip;629;;;0.6666667;16
