---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3;2;Investor;4;6;8;;;;;;23;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.6666667;12
8;4;2;Trustee;4;0;8;;;;;;30;12;4;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.6666667;12
8;1;3;Trustee;8;0;0;;;;;;30;12;0;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0;32
8;21;3;Investor;8;15;0;;;;;;11;30;11;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0;0
8;11;4;Trustee;8;0;16;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;16
8;12;4;Investor;8;16;16;;;;;;5;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.6666667;16
8;8;5;Trustee;8;0;12;;;;;;30;8;3;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.5;20
8;9;5;Investor;8;16;12;;;;;;14;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.5;12
8;18;6;Trustee;4;0;8;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;12
8;20;6;Investor;4;10;8;;;;;;26;30;6;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.6666667;12
9;10;1;Trustee;8;0;12;;;;;;30;11;4;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.5;20
9;12;1;Investor;8;16;12;;;;;;6;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.5;12
9;4;2;Trustee;0;0;0;;;;;;30;10;3;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0;8
9;21;2;Investor;0;32;0;;;;;;11;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0;8
9;11;3;Trustee;6;0;12;;;;;;30;14;1;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;14
9;19;3;Investor;6;15;12;;;;;;4;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.6666667;14
