3;8;4;20;50;0;0;30;1;2;1;0;1;2;1;0;1;;13;1;20;27;3;2.564949;20;1;8;PDSH3010;1;0;1240;;3;1;1;1;0;1;0.5;;1;1
3;9;3;20;40;0;0;30;1;2;1;0;1;2;1;0;1;;19;1;20;27;3;2.944439;20;1;9;PDSH3010;1;0;1280;;3;1;1;0;0;0;0.0384615;;1;0
3;10;4;20;40;0;0;30;1;2;1;0;1;2;1;0;1;;3;1;20;27;3;1.098612;20;1;10;PDSH3010;1;0;1370;;3;1;1;0;0;0;0.0384615;;1;1
4;1;4;0;50;0;0;30;1;2;0;0;2;2;1;0;1;;2;0;30;27;4;0.6931472;20;1;1;PDSH3010;1;0;1180;;;0;0;0;0;0;0.2692308;;1;1
4;2;5;10;40;0;0;30;1;2;0;0;2;2;1;0;0;;8;0;10;27;4;2.079442;20;1;2;PDSH3010;1;0;1220;;;1;0;0;0;0;0.0384615;;1;1
4;3;5;10;60;0;0;30;1;2;0;0;2;2;1;0;0;;6;0;10;27;4;1.791759;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
4;4;1;30;100;0;0;30;1;2;0;0;2;2;1;0;0;;5;1;0;27;4;1.609438;20;1;4;PDSH3010;1;0;1460;;;0;0;0;0;0;0;;0;1
4;5;2;30;100;0;0;30;1;2;0;0;2;2;1;0;0;;4;1;0;27;4;1.386294;20;1;5;PDSH3010;1;0;1190;;;0;0;0;0;0;0.2307692;;0;1
4;6;3;30;70;0;0;30;1;2;0;0;2;2;1;0;0;;2;1;0;27;4;0.6931472;20;1;6;PDSH3010;1;0;1300;;;0;0;1;1;0;0.1153846;;1;1
4;7;2;0;40;0;0;30;1;2;0;0;2;2;1;0;1;;2;0;30;27;4;0.6931472;20;1;7;PDSH3010;1;0;1240;;;0;0;0;0;0;0.0384615;;1;1
4;8;4;30;80;0;0;30;1;2;0;0;2;2;1;0;0;;2;1;0;27;4;0.6931472;20;1;8;PDSH3010;1;0;1240;;;0;0;1;1;0;0.5;;1;1
4;9;3;0;40;0;0;30;1;2;0;0;2;2;1;0;1;;5;0;30;27;4;1.609438;20;1;9;PDSH3010;1;0;1280;;;0;0;0;0;0;0.0384615;;1;0
4;10;1;0;40;0;0;30;1;2;0;0;2;2;1;0;1;;2;0;30;27;4;0.6931472;20;1;10;PDSH3010;1;0;1370;;;0;0;0;0;0;0.0384615;;1;1
5;1;1;10;60;0;0;30;1;3;1;0;1;3;1;0;0;;8;0;10;27;5;2.079442;20;1;1;PDSH3010;1;0;1180;;5;1;0;1;1;0;0.2692308;;1;1
5;2;3;10;50;0;0;30;1;3;1;0;1;3;1;0;0;;10;0;10;27;5;2.302585;20;1;2;PDSH3010;1;0;1220;;5;1;0;0;0;0;0.0384615;;1;1
5;3;5;10;70;0;0;30;1;3;1;0;1;3;1;0;0;;9;0;10;27;5;2.197225;20;1;3;PDSH3010;1;0;1350;;5;1;0;0;0;0;0.0769231;;0;0
5;4;2;30;130;0;0;30;1;3;1;0;1;3;1;0;0;;7;1;0;27;5;1.94591;20;1;4;PDSH3010;1;0;1460;;5;0;0;0;0;0;0;;0;1
5;5;3;10;110;0;0;30;1;3;1;0;1;3;1;0;0;;3;0;10;27;5;1.098612;20;1;5;PDSH3010;1;0;1190;;5;1;0;0;0;0;0.2307692;;0;1
5;6;4;20;90;0;0;30;1;3;1;0;1;3;1;0;1;;12;1;20;27;5;2.484907;20;1;6;PDSH3010;1;0;1300;;5;1;1;1;0;1;0.1153846;;1;1
5;7;1;10;50;0;0;30;1;3;1;0;1;3;1;0;0;;8;0;10;27;5;2.079442;20;1;7;PDSH3010;1;0;1240;;5;1;0;1;1;0;0.0384615;;1;1
5;8;4;20;100;0;0;30;1;3;1;0;1;3;1;0;1;;15;1;20;27;5;2.70805;20;1;8;PDSH3010;1;0;1240;;5;1;1;1;0;1;0.5;;1;1
5;9;5;10;50;0;0;30;1;3;1;0;1;3;1;0;0;;11;0;10;27;5;2.397895;20;1;9;PDSH3010;1;0;1280;;5;1;0;1;1;0;0.0384615;;1;0
